Number,Title,Publication Year,Labels,DOI
35,Predicting Sepsis treatment decisions in the paediatric emergency department using machine learning: the AiSEPTRON study.,2025,diagnostics; therapeutics; infectious disease; sepsis; machine learning; paediatrics,
36,machine learning models for early Sepsis recognition in the neonatal intensive care unit using readily available electronic health record data.,2019,diagnostics; infectious disease; sepsis; machine learning; paediatrics,
37,A Knowledge-Enhanced Platform (MetaSepsisKnowHub) for Retrieval Augmented Generation-Based Sepsis Heterogeneity and Personalized Management: Development Study.,2025,education; infectious disease; sepsis; retrieval augmented generation,
38,Novel application of an automated-machine learning development tool for predicting burn Sepsis: proof of concept.,2020,diagnostics; infectious disease; sepsis; machine learning,
39,Predictive health monitoring: Leveraging artificial intelligence for early detection of infectious diseases in nursing home residents through discontinuous vital signs analysis.,2024,diagnostics; infectious disease; acute respiratory infection; urinary tract infection; infectious disease broad; machine learning; nursing homes; vital signs; early detection; public health,10.1016/j.compbiomed.2024.108469
40,"Antilogic, a new supervised machine learning software for the automatic interpretation of antibiotic susceptibility testing in clinical microbiology: proof-of-concept on three frequently isolated bacterial species.",2022,diagnostics; therapeutics; microbiology; infectious disease; E. coli; Klebsiella; Staphylococcus; bacterial species (variety/broad); fungal species (variety/broad); machine learning; antimicrobial,
41,A deep learning-based model for detecting Leishmania amastigotes in microscopic slides: a new approach to telemedicine.,2024,diagnostics; infectious disease; leishmaniasis; deep learning; microscopy,
42,OPTIMIZATION OF PRE-HOSPITAL FIRST AID MANAGEMENT STRATEGIES FOR PATIENTS WITH infectious diseaseS IN HUIZHOU CITY USING DEEP LEARNING ALGORITHM.,2023,therapeutics; infectious disease; infectious disease broad; deep learning; neural network; pre-hospital care; emergency management; public health,10.20471/acc.2023.62.01.16
43,Continuous prediction and clinical alarm management of late-onset Sepsis in preterm infants using vital signs from a patient monitor.,2024,diagnostics; therapeutics; infectious disease; sepsis; machine learning; paediatrics,
44,Interpretable machine learning to Optimize Early In-Hospital Mortality Prediction for Elderly Patients with Sepsis: A Discovery Study.,2022,therapeutics; infectious disease; sepsis; machine learning; daiagnostics,
45,Six clinical phenotypes with prognostic implications were identified by unsupervised machine learning in children and adolescents with SARS-CoV-2 infection: results from a German nationwide registry.,2024,diagnostics; therapeutics; infectious disease; COVID-19; machine learning; paediatrics,
46,Automated Interpretation of Blood Culture Gram Stains by Use of a Deep Convolutional Neural Network.,2018,diagnostics; microbiology; infectious disease; bloodstream infection; neural network; computer vision; deep learning,
47,Identifying Drug-Resistant Tuberculosis in Chest Radiographs: Evaluation of CNN Architectures and Training Strategies.,2021,education; diagnostics; therapeutics; infectious disease; tuberculosis; neural network; machine learning; deep learning; computer vision; radiology,
48,The development an artificial intelligence algorithm for early Sepsis diagnosis in the intensive care unit.,2020,diagnostics; infectious disease; sepsis; neural network; machine learning,
49,Deep learning diagnostic and risk-stratification pattern detection for COVID-19 in digital lung auscultations: clinical protocol for a case-control and prospective cohort study.,2021,diagnostics; infectious disease; COVID-19; neural network; machine learning; deep learning,
50,Assessing ChatGPT's theoretical knowledge and prescriptive accuracy in bacterial infections: a comparative study with infectious diseases residents and specialists.,2025,diagnostics; therapeutics; infectious disease; microbiology; bacterial species (variety/broad); neural network; machine learning; large language model,
51,Use of a convolutional neural network for direct detection of acid-fast bacilli from clinical specimens.,2025,diagnostics; microbiology; infectious disease; tuberculosis; mycobacterium; computer vision; machine learning; large language model; deep learning; neural network; microscopy; radiology,
