Number,Title,Publication Year,Labels,DOI
153,Right Dose Right Now: bedside data-driven personalized antibiotic dosing in severe Sepsis and septic shock - rationale and design of a multicenter randomized controlled superiority trial.,2019,therapeutics; infectious disease; septic shock; sepsis; pharmacometric decision-support; antimicrobial; pharmacotherapy; randomized controlled trial; trial,
154,AI-based diagnosis of COVID-19 patients using X-ray scans with stochastic ensemble of CNNs.,2021,diagnostics; infectious disease; COVID-19; respiratory virus; neural network; computer vision; radiology,
155,Timesias: A machine learning pipeline for predicting outcomes from time-series clinical records.,2021,diagnostics; therapeutics; infectious disease; sepsis; machine learning,
156,Calcium ion dynamic trajectory is associated with prognosis in patients with Sepsis: A potential class mixture modeling study.,2025,therapeutics; infectious disease; sepsis; machine learning,
157,A hybrid long short-term memory-convolutional neural network multi-stream deep learning model with Convolutional Block Attention Module incorporated for mpox detection.,2025,diagnostics; infectious disease; monkeypox; deep learning; neural network; computer vision; machine learning; mpox,
158,"Pattern of abnormalities amongst chest X-rays of adults undergoing computer-assisted digital chest X-ray screening for tuberculosis in Peri-Urban Blantyre, Malawi: A cross-sectional study.",2021,diagnostics; infectious disease; tuberculosis; computer vision; radiology; screening,
159,Interpretable machine learning based comorbidity specific mortality risk score for bloodstream infections.,2025,diagnostics; therapeutics; microbiology; infectious disease; sepsis; bloodstream infection; E. coli; Staphylococcus; machine learning,
160,A multi-scale pipeline linking drug transcriptomics with pharmacokinetics predicts in vivo interactions of tuberculosis drugs.,2021,therapeutics; infectious disease; tuberculosis; mycobacterium; MDRO; neural network,
161,machine learning for the prediction of 1-year mortality in patients with Sepsis-associated acute kidney injury.,2024,therapeutics; infectious disease; sepsis; machine learning,
162,Use of artificial intelligence for tailored routine urine analyses.,2021,diagnostics; microbiology; urinary tract infection; computer vision; microscopy; colorimetry; urine culture,
163,Predictive machine learning models for anticipating loss to follow-up in tuberculosis patients throughout anti-TB treatment journey.,2024,therapeutics; infectious disease; tuberculosis; mycobacterium; viral hepatitis; machine learning,
164,Determinants of brain swelling in pediatric and adult cerebral malaria.,2021,diagnostics; infectious disease; malaria; machine learning; paediatrics,
165,da_Tracker: Automated workflow for high throughput single cell and single phagosome tracking in infected cells.,2024,diagnostics; microbiology; infectious disease; tuberculosis; computer vision; microscopy,
166,Automatic detection of COVID-19 in chest radiographs using serially concatenated deep and handcrafted features.,2022,diagnostics; infectious disease; COVID-19; deep learning; computer vision; radiology,
167,GPT-based chatbot tools are still unreliable in the management of prosthetic joint infections.,2024,education; diagnostics; therapeutics; microbiology; infectious disease; prosthetic joint infection; neural network; machine learning; large language model; simulated patient,
168,Toxicity assessment of doxycycline-aided artificial intelligence-assisted drug design targeting candidate 16S rRNA methyltransferase gene.,2025,therapeutics; microbiology; infectious disease; antimicrobial resistance; 16S rRNA methyltransferase; E. coli; aminoglycoside resistance; deep learning; WADDAICA; AI-assisted drug design; de novo drug design; molecular docking; in silico modelling; doxycycline; pharmacotherapy; antimicrobial; drug design; toxicity assessment; ADMET; CB-dock; SWISS-MODEL; ProTox-II,10.1186/s40360-025-00875-6
169,A Computer Vision Approach to Identifying Ticks Related to Lyme Disease.,2022,diagnostics; infectious disease; COVID-19; Lyme disease; neural network; computer vision; machine learning,
170,Infection detection revolution: Harnessing AI-powered image analysis to combat infectious diseases.,2024,diagnostics; education; infectious disease; COVID-19; viral hepatitis; regression modelling; computer vision; simulated patient; image analysis,
171,Pre-trained ChatGPT for report generation in automated microbial identification and antibiotic susceptibility testing systems.,2025,diagnostics; education; microbiology; infectious disease; bacterial species broad; antimicrobial susceptibility; Large Language Model; ChatGPT; natural language processing; microbiology reporting; automated ID/AST; antimicrobial,10.1038/s41598-025-22315-5
172,Quick Detection of Proteus and Pseudomonas in Patients' Urine and Assessing Their Antibiotic Susceptibility Using Infrared Spectroscopy and machine learning.,2023,diagnostics; therapeutics; microbiology; infectious disease; urinary tract infection; Pseudomonas; MDRO; machine learning; point of care; infrared spectroscopy; antimicrobial,
173,"A multicentre study to evaluate the diagnostic performance of a novel CAD software, DecXpert, for radiological diagnosis of tuberculosis in the northern Indian population.",2024,diagnostics; infectious disease; tuberculosis; mycobacterium; respiratory infection; deep learning; computer vision; radiology,
174,A comparative analysis of eleven neural networks architectures for small datasets of lung images of COVID-19 patients toward improved clinical decisions.,2021,diagnostics; infectious disease; COVID-19; deep learning; neural network; computer vision,
175,Cell-Free DNA as Biomarker for Sepsis by Integration of Microbial and Host Information.,2022,diagnostics; microbiology; infectious disease; sepsis; machine learning,
176,Cluster analysis to define distinct clinical phenotypes among septic patients with bloodstream infections.,2019,therapeutics; infectious disease; sepsis; bloodstream infection; machine learning; cluster analysis; radiology,
177,Digital Pathology Platform for Respiratory Tract Infection Diagnosis via Multiplex Single-Particle Detections.,2020,diagnostics; microbiology; infectious disease; COVID-19; respiratory infection; respiratory virus; RSV; machine learning; radiology,
178,"Patient journey of individuals tested for HCV in Spain: LiverTAI, a retrospective analysis of EHRs through natural language processing.",2023,education; diagnostics; infectious disease; viral hepatitis; neural network; natural language processing; public health; retrospective analysis,
179,Web-based application for predicting the potential target phenotype for recombinant human thrombomodulin therapy in patients with Sepsis: analysis of three multicentre registries.,2022,therapeutics; microbiology; infectious disease; sepsis; machine learning,
180,Risk factors for concomitant positive midstream urine culture in patients presenting with symptomatic ureterolithiasis.,2022,therapeutics; education; diagnostics; infectious disease; microbiology; urinary tract infection; machine learning; urine culture,
181,Potential diagnosis of COVID-19 from chest X-ray and CT findings using semi-supervised learning.,2022,diagnostics; infectious disease; COVID-19; semi-supervised learning; computer vision; machine learning; radiology,
182,Exhaled human breath analysis in active pulmonary tuberculosis diagnostics by comprehensive gas chromatography-mass spectrometry and chemometric techniques.,2018,diagnostics; infectious disease; microbiology; tuberculosis; mycobacterium; respiratory infection; neural network; mass spectrometry; gas chromatography,
183,Discriminating TB lung nodules from early lung cancers using deep learning.,2022,diagnostics; infectious disease; tuberculosis; computer vision; deep learning; radiology,
184,Rapid and easy detection of low-level resistance to vancomycin in methicillin-resistant Staphylococcus aureus by matrix-assisted laser desorption ionization time-of-flight mass spectrometry.,2018,diagnostics; therapeutics; microbiology; infectious disease; Staphylococcus; MDRO; machine learning; mass spectrometry,
185,Predicting work ability impairment in post COVID-19 patients: a machine learning model based on clinical parameters.,2025,therapeutics; infectious disease; COVID-19; machine learning,
186,Mortality and antibiotic timing in deep learning-derived surviving Sepsis campaign risk groups: a multicenter study.,2025,therapeutics; infectious disease; septic shock; sepsis; deep learning; antimicrobial,
187,Deep Neural Networks Offer Morphologic Classification and Diagnosis of Bacterial Vaginosis.,2021,diagnostics; microbiology; infectious disease; bacterial vaginosis; bacterial species (variety/broad); neural network; deep learning; microscopy,
188,Deep learning-based prediction of in-hospital mortality for Sepsis.,2024,diagnostics; therapeutics; infectious disease; sepsis; machine learning; deep learning,
189,A machine learning Model for Accurate Prediction of Sepsis in ICU Patients.,2021,diagnostics; infectious disease; sepsis; machine learning,
190,Identification of active molecules against Mycobacterium tuberculosis through machine learning.,2021,diagnostics; infectious disease; tuberculosis; mycobacterium; deep learning; neural network; machine learning,
191,Disordered microbial communities in the upper respiratory tract of cigarette smokers.,2010,diagnostics; microbiology; infectious disease; respiratory infection; machine learning; Commensal organisms; radiology,
192,Antibody Repertoire Analysis of Hepatitis C Virus Infections Identifies Immune Signatures Associated With Spontaneous Clearance.,2018,diagnostics; microbiology; infectious disease; viral hepatitis; machine learning; ELISA; screening; cell culture,
193,A computer-aided diagnosis system for the classification of COVID-19 and non-COVID-19 pneumonia on chest X-ray images by integrating CNN with sparse autoencoder and feed forward neural network.,2022,diagnostics; infectious disease; COVID-19; respiratory infection; pneumonia; neural network; deep learning; computer vision; radiology,
194,Continuous Sepsis trajectory prediction using tensor-reduced physiological signals.,2024,therapeutics; infectious disease; sepsis; machine learning,
195,Enhancing Disease Classification with Deep Learning: a Two-Stage Optimization Approach for mpox and Similar Skin Lesion Diseases.,2024,diagnostics; infectious disease; monkeypox; deep learning; mpox,
196,Hierarchical AI enables global interpretation of culture plates in the era of digital microbiology.,2023,therapeutics; diagnostics; microbiology; infectious disease; COVID-19; deep learning,
197,machine learning model for the prediction of gram-positive and gram-negative bacterial bloodstream infection based on routine laboratory parameters.,2023,diagnostics; microbiology; infectious disease; bloodstream infection; bacterial species (variety/broad); machine learning,
198,machine learning identifies signatures of macrophage reactivity and tolerance that predict disease outcomes.,2023,therapeutics; microbiology; infectious disease; sepsis; machine learning; immunology; radiology,
199,Forecast of Dengue Cases in 20 Chinese Cities Based on the Deep Learning Method.,2020,diagnostics; infectious disease; dengue; machine learning; deep learning; public health,
200,"Large language models as information providers for appropriate antimicrobial use: computational text analysis and expert-rated comparison of ChatGPT, Claude and Gemini.",2025,education; therapeutics; infectious disease; antimicrobial use; infection management; Large Language Model; ChatGPT; Claude; Gemini; natural language processing; antimicrobial; pharmacotherapy; expert-rated comparison; patient/clinician information,10.1136/bmjhci-2025-101632
201,An interpretable machine learning model for early prediction of Escherichia coli infection in ICU patients.,2025,diagnostics; infectious disease; E. coli; machine learning,
202,Comparison of machine-learning methodologies for accurate diagnosis of Sepsis using microarray gene expression data.,2021,diagnostics; infectious disease; sepsis; neural network; machine learning,
203,Predicting 30-days mortality for MIMIC-III patients with Sepsis-3: a machine learning approach using XGboost.,2020,therapeutics; infectious disease; sepsis; machine learning,
204,machine learning-Assistant Colorimetric Sensor Arrays for Intelligent and Rapid Diagnosis of Urinary Tract Infection.,2024,diagnostics; infectious disease; urinary tract infection; machine learning; radiology,
205,Safety-driven design of machine learning for Sepsis treatment.,2021,therapeutics; infectious disease; sepsis; machine learning,
206,Why did individuals seeking COVID-19 advice return to internet hospitals for follow-up in the early pandemic: Insights from machine learning.,2025,education; infectious disease; COVID-19; machine learning,
207,Development of machine learning-based mpox surveillance models in a learning health system.,2025,diagnostics; infectious disease; monkeypox; deep learning; machine learning; mpox; public health,
208,Capabilities of GPT-4o and Gemini 1.5 Pro in Gram stain and bacterial shape identification.,2024,diagnostics; microbiology; bacterial species (variety/broad); large language model; computer vision,
209,ULNet for the detection of coronavirus (COVID-19) from chest X-ray images.,2021,diagnostics; infectious disease; COVID-19; computer vision; radiology,
210,Predicting bloodstream infection outcome using machine learning.,2021,diagnostics; therapeutics; infectious disease; bloodstream infection; machine learning,
211,Comprehensive metabolomics combined with machine learning for the identification of SARS-CoV-2 and other viruses directly from upper respiratory samples.,2025,diagnostics; infectious disease; COVID-19; respiratory infection; respiratory virus; machine learning,
212,Predictive modeling of mortality in carbapenem-resistant Acinetobacter baumannii bloodstream infections using machine learning.,2024,diagnostics; therapeutics; infectious disease; bloodstream infection; machine learning,
213,Deep Learning-driven research for drug discovery: Tackling Malaria.,2020,therapeutics; microbiology; infectious disease; malaria; deep learning; computer vision; machine learning,
214,Prediction of antimicrobial resistance of Klebsiella pneumoniae from genomic data through machine learning.,2024,therapeutics; microbiology; infectious disease; Klebsiella; MDRO; regression modelling; machine learning; pharmacotherapy; antimicrobial,
215,"Performance analysis of large language models Chatgpt-4o, OpenAI O1, and OpenAI O3 mini in clinical treatment of pneumonia: a comparative study.",2025,therapeutics; infectious disease; respiratory infection; pneumonia; large language model; natural language processing,
216,PlasmoFAB: a benchmark to foster machine learning for Plasmodium falciparum protein antigen candidate prediction.,2023,diagnostics; microbiology; infectious disease; malaria; machine learning,
217,A machine learning approach to differentiate between COVID-19 and influenza infection using synthetic infection and immune response data.,2022,diagnostics; infectious disease; COVID-19; respiratory infection; respiratory virus; influenza; machine learning,
218,Implementation of an Artificial Intelligence Algorithm for Sepsis detection.,2020,diagnostics; infectious disease; sepsis; machine learning,
219,Leveraging mathematical models of disease dynamics and machine learning to improve development of novel malaria interventions.,2022,diagnostics; infectious disease; malaria; machine learning,
220,Predicting Sepsis in-hospital mortality with machine learning: a multi-center study using clinical and inflammatory biomarkers.,2024,diagnostics; therapeutics; infectious disease; sepsis; machine learning,
221,Identification and analysis of diverse cell death patterns in osteomyelitis via microarray-based transcriptome profiling and clinical data.,2025,diagnostics; microbiology; infectious disease; osteomyelitis; machine learning; PCR,
222,machine learning aided multiscale modelling of the HIV-1 infection in the presence of NRTI therapy.,2023,therapeutics; infectious disease; HIV; neural network; machine learning,
223,Integrative transcriptome analysis of SARS-CoV-2 human-infected cells combined with deep learning algorithms identifies two potential cellular targets for the treatment of coronavirus disease.,2023,therapeutics; infectious disease; COVID-19; deep learning,
224,Multi-stage malaria parasite recognition by deep learning.,2021,diagnostics; microbiology; infectious disease; malaria; deep learning,
225,Nucleic acid based point-of-care diagnostic technology for infectious disease detection using machine learning empowered smartphone-interfaced quantitative colorimetry.,2023,diagnostics; microbiology; infectious disease; covid-19; infectious disease broad; machine learning; smartphone-interfaced quantitative colorimetry; Point of Care (POC); RT-LAMP; PCR; colorimetry; screening,10.1016/j.ijbiomac.2023.127137
226,Comparison between machine learning methods for mortality prediction for Sepsis patients with different social determinants.,2022,diagnostics; therapeutics; infectious disease; sepsis; machine learning,
227,Machine-learning model for 30-day mortality in Sepsis-associated delirium patients: A retrospective MIMIC-IV cohort study.,2026,diagnostics; therapeutics; infectious disease; sepsis; machine learning; retrospective analysis,
228,A Clinical Bacterial Dataset for Deep Learning in Microbiological Rapid On-Site Evaluation.,2024,diagnostics; microbiology; infectious disease; bacterial species (variety/broad); deep learning; computer vision; microscopy,
229,Host glycosylation of immunoglobulins impairs the immune response to acute Lyme disease.,2024,diagnostics; microbiology; infectious disease; Lyme disease; machine learning,
230,Interpretable machine learning model for predicting delirium in patients with Sepsis: a study based on the MIMIC data.,2025,diagnostics; infectious disease; sepsis; large language model; machine learning; Delirium,
231,Network context matters: graph convolutional network model over social networks improves the detection of unknown HIV infections among young men who have sex with men.,2019,diagnostics; infectious disease; HIV; machine learning; deep learning; public health,
232,A new backpropagation neural network classification model for prediction of incidence of malaria.,2020,diagnostics; infectious disease; malaria; neural network; deep learning; machine learning; public health,
233,Deep Learning and Transfer Learning for Malaria Detection.,2022,diagnostics; microbiology; infectious disease; malaria; deep learning; machine learning,
234,Predicting outcomes in older ED patients with influenza in real time using a big data-driven and machine learning approach to the hospital information system.,2021,therapeutics; infectious disease; sepsis; influenza; machine learning,
235,Medical Prognosis of infectious diseases in Nursing Homes by Applying machine learning on Clinical Data Collected in Cloud Microservices.,2021,diagnostics; therapeutics; infectious disease; infectious disease broad; nursing-home infections; machine learning; nursing homes; cloud microservices; prognosis; early diagnosis,10.3390/ijerph182413278
236,Issues in performance evaluation for host-pathogen protein interaction prediction.,2016,diagnostics; infectious disease; microbiology; bacterial species (variety/broad); machine learning,
237,High-Precision Viral Detection Using Electrochemical Kinetic Profiling of Aptamer-Antigen Recognition in Clinical Samples and machine learning.,2024,diagnostics; infectious disease; COVID-19; influenza; machine learning,
238,"The performance of VCS(volume, conductivity, light scatter) parameters in distinguishing latent tuberculosis and active tuberculosis by using machine learning algorithm.",2023,diagnostics; microbiology; infectious disease; tuberculosis; mycobacterium; machine learning,
239,Dual intelligent multiplexing sensor for accurate disease management with portable NMR.,2025,diagnostics; microbiology; infectious disease; COVID-19; machine learning,
240,Learning patterns of HIV-1 resistance to broadly neutralizing antibodies with reduced subtype bias using multi-task learning.,2024,diagnostics; infectious disease; HIV; MDRO; machine learning,
241,Artificial neural network and logistic regression modelling to characterize COVID-19 infected patients in local areas of Iran.,2021,diagnostics; infectious disease; COVID-19; respiratory infection; respiratory virus; deep learning; large language model; neural network; regression modelling; logistic regression,
242,"Discrimination of Escherichia coli, Shigella flexneri, and Shigella sonnei using lipid profiling by MALDI-TOF mass spectrometry paired with machine learning.",2022,diagnostics; microbiology; infectious disease; sepsis; bloodstream infection; E. coli; Shigella; machine learning; MALDI-TOF; mass spectrometry,
243,An infection prediction model developed from inpatient data can predict out-of-hospital COVID-19 infections from wearable data when controlled for dataset shift.,2025,diagnostics; infectious disease; COVID-19; respiratory infection; respiratory virus; machine learning; radiology,
244,"Early prediction of septic shock in ICU patients using machine learning: development, external validation, and explainability with SHAP.",2026,diagnostics; infectious disease; septic shock; sepsis; machine learning,
245,Smart photonic crystal fiber optical sensor for tuberculosis detection with machine learning integration.,2025,diagnostics; infectious disease; tuberculosis; mycobacterium; computer vision; machine learning,
246,A model for predicting bacteremia species based on host immune response.,2025,diagnostics; microbiology; infectious disease; bloodstream infection; machine learning,
247,Evaluating ChatGPT ability to answer urinary tract Infection-Related questions.,2024,education; diagnostics; infectious disease; microbiology; urinary tract infection; urosepsis; HPV; large language model; urine culture; radiology,
248,Integrated epigenomic exposure signature discovery.,2024,diagnostics; microbiology; infectious disease; COVID-19; HIV; influenza; bacterial species (variety/broad); machine learning,
249,Identification and Analysis of a Four-Gene Set for Diagnosing SFTS Virus Infection Based on machine learning Methods and Its Association with Immune Cell Infiltration.,2023,diagnostics; microbiology; infectious disease; SFTS virus; thrombocytopenia syndrome; severe fever with thrombocytopenia syndrome; machine learning; feature selection; gene signature modelling; bioinformatics; biomarkers; viral infection,10.3390/v15102126
250,An antimicrobial drug recommender system using MALDI-TOF MS and dual-branch neural networks.,2024,therapeutics; diagnostics; microbiology; infectious disease; MDRO; deep learning; MALDI-TOF; antimicrobial,
251,"Development and validation of a quick, automated, and reproducible ATR FT-IR spectroscopy machine-learning model for Klebsiella pneumoniae typing.",2024,diagnostics; microbiology; infectious disease; bloodstream infection; Klebsiella; machine learning; microscopy; infrared spectroscopy,
252,Development and validation of machine learning-driven prediction model for serious bacterial infection among febrile children in emergency departments.,2022,diagnostics; infectious disease; microbiology; bloodstream infection; bacterial species (variety/broad); machine learning; paediatrics,
253,Decision support system and outcome prediction in a cohort of patients with necrotizing soft-tissue infections.,2022,therapeutics; infectious disease; necrotizing soft-tissue infection; machine learning,
254,Tuberculosis disease diagnosis using artificial neural network trained with genetic algorithm.,2011,diagnostics; infectious disease; tuberculosis; mycobacterium; neural network; machine learning; deep learning,
255,"Flexible, cluster-based analysis of the electronic medical record of Sepsis with composite mixture models.",2018,diagnostics; infectious disease; sepsis; machine learning,
256,Discovering novel biomarkers for diagnosis and treatment monitoring of active pulmonary tuberculosis by ion metabolism analysis.,2024,diagnostics; therapeutics; infectious disease; tuberculosis; mycobacterium; respiratory infection; neural network,
257,Large Language Model-Driven Knowledge Graph Construction in Sepsis Care Using Multicenter Clinical Databases: Development and Usability Study.,2025,diagnostics; therapeutics; infectious disease; sepsis; large language model; natural language processing,
258,Comparative evaluation of viral hepatitis question responses: ChatGPT-4.5 outperforms three established models.,2025,education; diagnostics; infectious disease; viral hepatitis; neural network; machine learning; large language model,
259,Multiclass malaria parasite recognition based on transformer models and a generative adversarial network.,2023,diagnostics; infectious disease; malaria; deep learning; computer vision,
260,Exploring the shared pathogenic mechanisms of tuberculosis and COVID-19: emphasizing the role of VNN1 in severe COVID-19.,2024,diagnostics; infectious disease; COVID-19; tuberculosis; machine learning,
261,Characterization and discrimination of spike protein in SARS-CoV-2 virus-like particles via surface-enhanced Raman spectroscopy.,2024,therapeutics; diagnostics; microbiology; infectious disease; COVID-19; deep learning; Raman spectroscopy,
262,Development and clinical impact assessment of a machine-learning model for early prediction of late-onset Sepsis.,2023,diagnostics; therapeutics; infectious disease; late-onset sepsis; neonatal sepsis; Sepsis; machine learning; predictive algorithm; paediatrics; very preterm infants; early prediction; retrospective analysis,10.1016/j.compbiomed.2023.107156
263,Predictive value of the preliminary findings in the severity of COVID-19 disease and the effect on therapeutic approaches.,2021,diagnostics; therapeutics; microbiology; infectious disease; COVID-19; neural network; radiology,
264,Plasma Proteomics Reveals Distinct Signatures in Occult and Microfilaremic Loa loa Infections.,2025,diagnostics; microbiology; infectious disease; Loa loa; loiasis; parasitic infection; occult loiasis; microfilaremia; machine learning; random forest; scikit-learn; mass spectrometry; plasma proteomics; biomarkers; molecular classification; high-throughput proteomics; tropical fever; parasitaemia,10.1093/infdis/jiaf344
265,S100A12 as a key biomarker in a neutrophil-associated gene prediction model for Sepsis diagnosis.,2025,diagnostics; infectious disease; sepsis; machine learning,
266,Predicting antidisease immunity using proteome arrays and sera from children naturally exposed to malaria.,2014,diagnostics; therapeutics; infectious disease; microbiology; malaria; machine learning; paediatrics; Parasitaemia,
267,A dual-process of targeted and unbiased Nanopore sequencing enables accurate and rapid diagnosis of lower respiratory infections.,2023,diagnostics; microbiology; infectious disease; respiratory infection; machine learning,
268,"Research on the predictive effect of a combined model of ARIMA and neural networks on human brucellosis in Shanxi Province, China: a time series predictive analysis.",2021,diagnostics; infectious disease; brucellosis; neural network; deep learning; public health; radiology,
269,"Prediction of Moderate-to-Severe Sepsis-Associated Acute Kidney Injury Using a Dual-Timepoint machine learning Model: Development, Multiregional Validation, and Clinical Deployment Study.",2025,diagnostics; infectious disease; sepsis; machine learning; Acute Kidney Injury (AKI),
270,Identification of key biomarkers and therapeutic targets in Sepsis through coagulation-related gene expression and immune pathway analysis.,2024,diagnostics; therapeutics; infectious disease; sepsis; machine learning,
271,The health cost of urbanization: identification and ranking of influencing factors of class A and B infectious diseases based on machine learning.,2025,diagnostics; infectious disease; Class A and B infectious diseases; infectious disease broad; machine learning; Random Forest; Gradient Boosting Tree; XGBoost; public health; urbanization; risk factor ranking; surveillance,10.3389/fpubh.2025.1616841
272,Nanobody screening and machine learning guided identification of cross-variant anti-SARS-CoV-2 neutralizing heavy-chain only antibodies.,2025,diagnostics; therapeutics; microbiology; infectious disease; COVID-19; machine learning; ELISA; cell culture; screening,
273,Immature granulocyte percentage for prediction of Sepsis in severe burn patients: a machine leaning-based approach.,2021,diagnostics; infectious disease; sepsis; machine learning,
274,Frequent temporal patterns of physiological and biological biomarkers and their evolution in Sepsis.,2023,diagnostics; infectious disease; sepsis; machine learning,
275,machine learning and radiomics for the prediction of multidrug resistance in cavitary pulmonary tuberculosis: a multicentre study.,2023,diagnostics; therapeutics; infectious disease; tuberculosis; mycobacterium; MDRO; computer vision; machine learning; radiology; antimicrobial,
276,Identification of Key CircRNAs Related to Pulmonary Tuberculosis Based on Bioinformatics Analysis.,2022,diagnostics; infectious disease; tuberculosis; machine learning,
277,Accelerating Chart Review Using Automated Methods on Electronic Health Record Data for Postoperative Complications.,2016,therapeutics; diagnostics; infectious disease; sepsis; machine learning,
278,Use of machine learning to Assess the Management of Uncomplicated Urinary Tract Infection.,2025,therapeutics; education; infectious disease; urinary tract infection; machine learning; radiology,
279,A novel immunoassay technique using principal component analysis for enhanced detection of emerging viral variants.,2024,diagnostics; microbiology; infectious disease; COVID-19; respiratory infection; respiratory virus; computer vision; large language model; colorimetry,
280,Using a machine learning approach to predict mortality in critically ill influenza patients: a cross-sectional retrospective multicentre study in Taiwan.,2020,therapeutics; infectious disease; influenza; machine learning; radiology; retrospective analysis,
281,machine learning models to predict in-hospital mortality in septic patients with diabetes.,2022,diagnostics; therapeutics; infectious disease; sepsis; machine learning; radiology,
282,Improved Genomic Prediction of Staphylococcus epidermidis Isolation Sources with a Novel Polygenic Score.,2023,diagnostics; microbiology; infectious disease; Staphylococcus; machine learning,
283,A machine learning MODEL DERIVED FROM ANALYSIS OF TIME-COURSE GENE-EXPRESSION DATASETS REVEALS TEMPORALLY STABLE GENE MARKERS PREDICTIVE OF Sepsis MORTALITY.,2023,therapeutics; microbiology; infectious disease; sepsis; machine learning,
284,ARIMA and ARIMA-ERNN models for prediction of pertussis incidence in mainland China from 2004 to 2021.,2022,diagnostics; infectious disease; pertussis; machine learning,
285,COVIDGR Dataset and COVID-SDNet Methodology for Predicting COVID-19 Based on Chest X-Ray Images.,2020,diagnostics; infectious disease; COVID-19; deep learning; computer vision; radiology,
286,Using machine learning to predict COVID-19 infection and severity risk among 4510 aged adults: a UK Biobank cohort study.,2022,diagnostics; infectious disease; COVID-19; machine learning; radiology,
287,Cellphone-Based Hand-Held Microplate Reader for Point-of-Care Testing of Enzyme-Linked Immunosorbent Assays.,2015,diagnostics; microbiology; infectious disease; HSV; measles; mumps; machine learning; ELISA; point of care,
288,"A multivariate multi-step LSTM forecasting model for tuberculosis incidence with model explanation in Liaoning Province, China.",2022,diagnostics; infectious disease; tuberculosis; machine learning; deep learning; public health,
289,A machine learning-based model for 1-year mortality prediction in patients admitted to an Intensive Care Unit with a diagnosis of Sepsis.,2020,therapeutics; diagnostics; infectious disease; sepsis; machine learning,
290,Performance of Risk Models for Antimicrobial Resistance in Adult Patients With Sepsis.,2024,diagnostics; infectious disease; sepsis; bloodstream infection; MDRO; machine learning; antimicrobial,
291,Analysis of the heterogeneous treatment effect of vasoactive drug dosage and time on hospital mortality across different Sepsis phenotypes: a retrospective cohort study.,2025,therapeutics; infectious disease; sepsis; machine learning; radiology; pharmacotherapy; retrospective analysis,
292,Creating an automated trigger for Sepsis clinical decision support at emergency department triage using machine learning.,2017,diagnostics; therapeutics; infectious disease; sepsis; machine learning,
